external relations,freedom and democracy,political system,economy,welfare and quality of life,fabric of society,social groups
0.9999765157699585,3.2509510674572084e-06,3.0195690214895876e-06,3.923288204532582e-06,2.057369101748918e-06,1.064212938217679e-05,6.254285267459636e-07
0.9999551773071289,1.2421987776178867e-05,1.0114716133102775e-05,4.7937273848219775e-06,3.025529167643981e-06,1.3647868399857543e-05,8.490708864883345e-07
0.9811516404151917,0.018384451046586037,0.000101227626146283,1.0700872735469602e-05,3.214383832528256e-05,0.000312459422275424,7.337822808040073e-06
0.9999771118164062,4.318954779591877e-06,2.7239491373620695e-06,3.579986241675215e-06,2.1080968508613296e-06,9.43472514336463e-06,7.677867301936203e-07
0.9999330043792725,1.7785561794880778e-05,1.15588472908712e-05,7.20888101568562e-06,4.740096755995182e-06,2.4257480617961846e-05,1.3823201925333706e-06
0.999956488609314,1.3016490356676513e-06,3.418140067878994e-06,2.3825024982215837e-05,7.83104587753769e-06,6.216249403223628e-06,8.627835654806404e-07
0.9999768733978271,4.073805939697195e-06,2.0473330550885294e-06,5.430009423434967e-06,2.5838739929895382e-06,8.108549081953242e-06,7.580379133287352e-07
0.9999783039093018,2.7762259833252756e-06,2.45374985752278e-06,4.048390565003501e-06,2.221429895143956e-06,9.41695452638669e-06,7.954786838126893e-07
0.10694936662912369,0.8897140026092529,0.00035820333869196475,2.1486257537617348e-05,0.0001383443595841527,0.002744438825175166,7.403930794680491e-05
0.4666139483451843,0.5312081575393677,0.0003738341329153627,4.5116423279978335e-05,0.00019194302149116993,0.0014840145595371723,8.30202698125504e-05
0.9999454021453857,3.2243140594800934e-05,3.2581283448962495e-06,3.965128144045593e-06,3.4586673791636713e-06,1.0724282219598535e-05,8.625074769952334e-07
0.9999779462814331,2.8287115583225386e-06,2.5253721105400473e-06,5.203099590289639e-06,2.6863199309445918e-06,7.940734576550312e-06,8.502944410793134e-07
0.9994983673095703,0.0002863814006559551,7.48540333006531e-05,1.9868706658598967e-05,1.8650116544449702e-05,9.377283276990056e-05,8.083025022642687e-06
0.9999682903289795,3.4208871966256993e-06,8.009993507585023e-06,4.762171556649264e-06,2.230208110631793e-06,1.2519029951363336e-05,7.142586468944501e-07
