Neg,Neu,Pos
0.007149639539420605,0.9772567749023438,0.015593585558235645
0.04697783291339874,0.9442866444587708,0.008735580369830132
0.006825505290180445,0.97718745470047,0.01598699949681759
0.021373139694333076,0.9662116765975952,0.012415226548910141
0.042362432926893234,0.9483238458633423,0.009313732385635376
0.0020915314089506865,0.9152482151985168,0.08266019076108932
0.018536457791924477,0.9536597728729248,0.027803707867860794
0.0018827349413186312,0.6545825004577637,0.34353482723236084
0.730762243270874,0.26485475897789,0.004383048973977566
0.0034532248973846436,0.9726224541664124,0.023924317210912704
0.004286265466362238,0.9770686030387878,0.018645083531737328
0.0028739275876432657,0.9585927724838257,0.03853331506252289
0.02383718453347683,0.961249828338623,0.014912974089384079
0.011337807402014732,0.9776877760887146,0.010974375531077385
0.015740031376481056,0.9725817441940308,0.011678178794682026
0.006403005216270685,0.677800178527832,0.3157968819141388
0.0036755972541868687,0.9757944345474243,0.02052999846637249
0.11291682720184326,0.8802309632301331,0.006852238439023495
0.3045608103275299,0.6872203946113586,0.008218741044402122
0.006342959124594927,0.9814363121986389,0.01222072634845972
0.004651352763175964,0.981357753276825,0.013990869745612144
0.00276921596378088,0.9622442722320557,0.03498644754290581
0.008950138464570045,0.9768333435058594,0.014216560870409012
0.04814997315406799,0.9424952268600464,0.00935476366430521
0.04405784606933594,0.9481984376907349,0.007743760943412781
0.003116767853498459,0.9698334336280823,0.02704983577132225
0.0029089830350130796,0.9713988304138184,0.025692125782370567
0.37338876724243164,0.6200079917907715,0.006603255867958069
0.003473828313872218,0.9398588538169861,0.0566672682762146
0.0045999097637832165,0.9766432046890259,0.01875695399940014
0.0019858141895383596,0.9274944067001343,0.07051979005336761
0.0021698896307498217,0.880781352519989,0.11704879254102707
0.00269571621902287,0.9289606809616089,0.06834356486797333
0.013554935343563557,0.9736294150352478,0.01281566172838211
0.053686343133449554,0.9238176345825195,0.02249603532254696
0.0017229444347321987,0.293182373046875,0.7050946950912476
0.004362143576145172,0.9603418111801147,0.035296011716127396
0.06895662099123001,0.9222223162651062,0.008821055293083191
0.01472452376037836,0.914118230342865,0.07115726917982101
0.8962243795394897,0.10064443945884705,0.003131178906187415
0.024204080924391747,0.9655399322509766,0.010255979374051094
0.012191148474812508,0.9775727987289429,0.010235992260277271
0.0071857646107673645,0.9781241416931152,0.014690062962472439
0.0024422702845185995,0.9377490878105164,0.05980868637561798
0.40067169070243835,0.5912298560142517,0.008098450489342213
0.10083236545324326,0.8920695185661316,0.007098066154867411
0.7551276683807373,0.24071890115737915,0.004153439775109291
0.05249124392867088,0.9401195645332336,0.007389139384031296
0.0033489458728581667,0.9774061441421509,0.019244881346821785
0.0019875664729624987,0.9067725539207458,0.09123993664979935
0.011619966477155685,0.9673346281051636,0.02104533463716507
0.007760724984109402,0.9667547345161438,0.025484539568424225
0.0025848979130387306,0.9653041362762451,0.03211096674203873
0.007568107917904854,0.9808666706085205,0.011565295048058033
0.01912536472082138,0.9700368642807007,0.010837839916348457
0.010464951395988464,0.9778653383255005,0.011669750325381756
0.2447005957365036,0.747736930847168,0.007562512531876564
0.004076098557561636,0.9801187515258789,0.01580510474741459
