external relations,freedom and democracy,political system,economy,welfare and quality of life,fabric of society,social groups
0.9999434947967529,1.5951467503327876e-05,9.494709956925362e-06,5.253227300272556e-06,4.662662831833586e-06,2.02599803742487e-05,8.345028277290112e-07
0.9999717473983765,2.8922695491928607e-06,2.6524455734033836e-06,8.284883733722381e-06,2.8602860311366385e-06,1.0719840247475076e-05,7.978491680660227e-07
0.9999643564224243,7.139633453334682e-06,4.365827408037148e-06,3.7354154756030766e-06,3.1562387903250055e-06,1.6570693333051167e-05,7.161902431107592e-07
0.9999319314956665,2.3717688236502e-05,5.422266895038774e-06,2.258301037727506e-06,3.2918026136030676e-06,3.200088394805789e-05,1.3671552778760088e-06
0.9456818103790283,0.004441299941390753,0.0023045972920954227,0.00015972988330759108,0.0017016265774145722,0.04148267209529877,0.0042283060029149055
3.45313674188219e-05,0.002694270806387067,0.8599650263786316,0.0001825711369747296,6.646003748755902e-05,0.13703103363513947,2.6139377951039933e-05
0.9999730587005615,3.642408046289347e-06,4.682268809119705e-06,3.996467057731934e-06,2.2252581857173936e-06,1.1636068848019931e-05,6.488090775746969e-07
5.0526509198789427e-08,4.108624125365168e-07,2.720576958381571e-06,2.176024645450525e-05,0.9999715089797974,1.996024138861685e-06,1.5504764405704918e-06
0.004416650626808405,0.005063483025878668,0.255172461271286,0.525043249130249,0.09498514235019684,0.029796957969665527,0.08552198857069016
0.9999759197235107,2.5128817924269242e-06,2.152556817236473e-06,4.84894690089277e-06,3.276390543760499e-06,1.0465108971402515e-05,8.420182098234363e-07
0.9999189376831055,4.739399446407333e-05,6.869212484161835e-06,3.8029788811400067e-06,3.97834128307295e-06,1.8117823856300674e-05,9.380047458762419e-07
0.9999433755874634,5.043434157414595e-06,7.886937055445742e-06,5.595487436949043e-06,4.47831143901567e-06,2.7442560167401098e-05,6.160703378554899e-06
0.00013964161917101592,0.9987107515335083,0.0006240816437639296,8.868298209563363e-06,2.1819201720063575e-05,0.0004918560152873397,3.078161398661905e-06
0.02339901030063629,0.005746590904891491,0.0018451374489814043,4.85795499116648e-05,7.90900012361817e-05,0.9688675403594971,1.406873889209237e-05
1.0763668569779838e-06,2.2916497982805595e-05,0.9998353719711304,2.3178363335318863e-05,1.3863246749679092e-05,9.740231325849891e-05,6.146060513856355e-06
0.9988349080085754,0.0005582540761679411,0.00041103054536506534,2.3430304281646386e-05,2.2604697733186185e-05,0.0001466304383939132,3.1273193599190563e-06
5.012868314224761e-06,0.00022042290947865695,0.9979320764541626,7.489376730518416e-05,0.00043680923408828676,0.0013024203944951296,2.829523873515427e-05
0.00012171048729214817,0.00016789496294222772,0.9994327425956726,6.606243550777435e-05,2.8168013159302063e-05,0.0001797630829969421,3.5246755487605697e-06
0.9999772310256958,2.8393585580488434e-06,2.713373532969854e-06,4.810035079572117e-06,2.4207374735851772e-06,9.31127397052478e-06,6.897009825479472e-07
0.004416650626808405,0.005063483025878668,0.255172461271286,0.525043249130249,0.09498514235019684,0.029796957969665527,0.08552198857069016
0.9999767541885376,2.762720214377623e-06,2.7990929538646014e-06,4.303223249735311e-06,2.5199392439390067e-06,1.019729006657144e-05,6.636556690864381e-07
0.7787905335426331,0.001908853999339044,0.008603086695075035,0.15785318613052368,0.036652982234954834,0.015330354683101177,0.000861030537635088
0.9995385408401489,0.0001602893025847152,1.3233696336101275e-05,8.764291123952717e-06,0.00019686066661961377,7.867074600653723e-05,3.6493593142949976e-06
0.9999760389328003,2.8692213618342066e-06,2.9068824005662464e-06,3.968136297771707e-06,2.3306099592446117e-06,1.1121539500891231e-05,6.249077273423609e-07
0.9999767541885376,2.6459961190994363e-06,3.129121296296944e-06,4.553352482616901e-06,2.5745957827894017e-06,9.61588739301078e-06,6.769813580831396e-07
0.9999771118164062,2.42183409682184e-06,2.817027962009888e-06,5.906735623284476e-06,2.7132491595693864e-06,8.292689017252997e-06,7.834886446289602e-07
0.9999768733978271,2.3909717583592283e-06,2.843373067662469e-06,4.47199136033305e-06,2.360910912102554e-06,1.02747817436466e-05,7.351753765760805e-07
3.6371784517541528e-06,1.2396439160511363e-05,0.9694145917892456,0.000744773424230516,0.028957854956388474,0.00047067287960089743,0.0003960247850045562
6.745550490450114e-05,9.602503996575251e-05,7.124178227968514e-05,1.1890501809830312e-05,9.145928743237164e-06,0.9997259974479675,1.818638702388853e-05
